system,status,error_csv,exact_match,token_f1,rouge_l,retrieval_gold_available,citation_present,citation_gold_match,grounded_citation_score,unsupported_or_missing_citation,error_missing_citation,error_retrieval_miss,error_acceptable_automatic,error_low_answer_overlap,error_wrong_or_unsupported_citation
gemma_base_rag,ok,/content/drive/MyDrive/rag/reports/error_analysis_gemma_base_rag.csv,0.0,0.14362952258745187,0.12755168522007554,0.7315789473684211,0.5684210526315789,0.3368421052631579,0.2894736842105263,0.5736842105263158,58,51,28,27,26
gemma_finetuned_rag,ok,/content/drive/MyDrive/rag/reports/error_analysis_gemma_finetuned_rag.csv,0.0,0.12680278813096377,0.10921139184950303,0.7315789473684211,0.6421052631578947,0.17894736842105263,0.1631578947368421,0.5631578947368421,56,51,15,16,52
qwen3_32b_base_rag,ok,/content/drive/MyDrive/rag/reports/error_analysis_qwen3_32b_base_rag.csv,0.0,0.1449248257408589,0.12327402366055978,0.8736842105263158,0.9842105263157894,0.8210526315789474,0.8052631578947368,0.14210526315789473,3,24,75,78,10
qwen3_32b_finetuned_rag,ok,/content/drive/MyDrive/rag/reports/error_analysis_qwen3_32b_finetuned_rag.csv,0.0,0.1914392689736146,0.16738300677058476,0.8736842105263158,0.9315789473684211,0.7421052631578947,0.7210526315789474,0.19473684210526315,13,24,95,42,16
