experiment,doc_hit@5,doc_hit@10,article_hit@5,article_hit@10,doc_mrr,article_mrr,article_ndcg@5,article_ndcg@10
BGE-M3 dense,0.8842105263157894,0.9,0.6736842105263158,0.7315789473684211,0.7642314118629909,0.5199248120300751,0.552413703147516,0.571659818981274
Qwen3-Embedding-8B dense,0.968421052631579,0.9789473684210527,0.7736842105263158,0.8368421052631579,0.8328970152654362,0.6241442840784945,0.65263199499276,0.6737403744928321
Qwen3-Embedding-8B + Qwen3-Reranker-8B,0.968421052631579,0.9789473684210527,0.8368421052631579,0.8736842105263158,0.8693483709273183,0.700921052631579,0.731401688043736,0.7434394587021661
